Creato come nuovo set dati;Sample 013 By Administrator Date martedì, novembre 22 2022
cm-1;%T
2896.00;70.94
2895.00;70.90
2894.00;70.85
2893.00;70.78
2892.00;70.73
2891.00;70.70
2890.00;70.67
2889.00;70.64
2888.00;70.59
2887.00;70.53
2886.00;70.46
2885.00;70.40
2884.00;70.35
2883.00;70.32
2882.00;70.31
2881.00;70.32
2880.00;70.32
2879.00;70.30
2878.00;70.28
2877.00;70.26
2876.00;70.26
2875.00;70.26
2874.00;70.25
2873.00;70.24
2872.00;70.23
2871.00;70.24
2870.00;70.25
2869.00;70.25
2868.00;70.23
2867.00;70.20
2866.00;70.17
2865.00;70.15
2864.00;70.14
2863.00;70.14
2862.00;70.14
2861.00;70.14
2860.00;70.14
2859.00;70.13
2858.00;70.13
2857.00;70.11
2856.00;70.08
2855.00;70.04
2854.00;70.02
2853.00;70.01
2852.00;70.02
2851.00;70.03
2850.00;70.03
2849.00;70.02
2848.00;69.98
2847.00;69.92
2846.00;69.86
2845.00;69.82
2844.00;69.79
2843.00;69.77
2842.00;69.77
2841.00;69.77
2840.00;69.78
2839.00;69.78
2838.00;69.78
2837.00;69.78
2836.00;69.78
2835.00;69.79
2834.00;69.78
2833.00;69.76
2832.00;69.73
2831.00;69.70
2830.00;69.68
2829.00;69.69
2828.00;69.70
2827.00;69.70
2826.00;69.70
2825.00;69.70
2824.00;69.71
2823.00;69.73
2822.00;69.75
2821.00;69.77
2820.00;69.79
2819.00;69.82
2818.00;69.84
2817.00;69.85
2816.00;69.86
2815.00;69.87
2814.00;69.88
2813.00;69.90
2812.00;69.92
2811.00;69.94
2810.00;69.96
2809.00;69.98
2808.00;70.00
2807.00;70.02
2806.00;70.05
2805.00;70.09
2804.00;70.14
2803.00;70.19
2802.00;70.23
2801.00;70.26
2800.00;70.29
2799.00;70.33
2798.00;70.37
2797.00;70.42
2796.00;70.47
2795.00;70.52
2794.00;70.57
2793.00;70.61
2792.00;70.66
2791.00;70.72
2790.00;70.80
2789.00;70.88
2788.00;70.96
2787.00;71.03
2786.00;71.10
2785.00;71.19
2784.00;71.27
